epoch_kyr,Equinozio primavera_stella,Equinozio primavera_Vmag,Inizio semina_stella,Inizio semina_Vmag,Solstizio estivo_stella,Solstizio estivo_Vmag,Inizio raccolta_stella,Inizio raccolta_Vmag,Equinozio autunno_stella,Equinozio autunno_Vmag,Fine raccolta_stella,Fine raccolta_Vmag,Solstizio invernale_stella,Solstizio invernale_Vmag,Inizio freddo_stella,Inizio freddo_Vmag
-80.0,,,,,Sirius,-0.79,,,,,,,,,,
-81.0,Alcyone (Pleiadi),2.86,,,Alnitak (Cin.Orione),1.75,,,Acrux (Cr.Sud),0.8,,,,,,
-82.0,,,,,,,,,,,,,,,,
-83.0,,,,,,,,,,,,,,,,
-84.0,,,,,,,,,,,,,,,Alcyone (Pleiadi),2.86
-85.0,,,,,,,,,,,,,Capella,-0.36,,
-86.0,,,,,,,,,,,,,,,,
-87.0,,,,,,,Acrux (Cr.Sud),0.8,,,,,Alcyone (Pleiadi),2.86,,
-88.0,,,,,,,Acrux (Cr.Sud),0.8,,,,,Chamukuy (Iadi),3.22,,
-89.0,,,,,,,Acrux (Cr.Sud),0.8,,,,,,,,
-90.0,,,,,,,Acrux (Cr.Sud),0.8,,,Capella,-0.39,,,Sirius,-0.7
-91.0,,,,,,,,,,,Chamukuy (Iadi),3.22,,,,
-92.0,,,,,,,,,,,,,Sirius,-0.69,,
-93.0,,,,,,,,,Alcyone (Pleiadi),2.86,Alnitak (Cin.Orione),1.75,,,,
-94.0,,,,,,,,,Chamukuy (Iadi),3.21,Sirius,-0.67,,,,
-95.0,,,,,,,,,,,,,,,,
-96.0,,,,,,,,,Alnitak (Cin.Orione),1.75,,,,,,
-97.0,,,,,,,Alcyone (Pleiadi),2.86,Sirius,-0.64,,,,,,
-98.0,,,,,,,Chamukuy (Iadi),3.2,,,,,,,,
-99.0,,,,,,,Rigel,0.08,,,,,,,,
-100.0,,,,,Alcyone (Pleiadi),2.86,Rigel,0.08,,,,,,,,
